
2024/10/31 (13:41:11) | ===> btop++ v.1.4.0
2024/10/31 (13:41:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (14:18:17) | ===> btop++ v.1.4.0
2024/10/31 (14:18:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/10/31 (15:55:09) | ===> btop++ v.1.4.0
2024/10/31 (15:55:09) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (09:16:40) | ===> btop++ v.1.4.0
2024/11/04 (09:16:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/04 (09:17:03) | ===> btop++ v.1.4.0
2024/11/04 (09:17:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (08:55:44) | ===> btop++ v.1.4.0
2024/11/05 (08:55:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/05 (12:31:40) | ===> btop++ v.1.4.0
2024/11/05 (12:31:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (11:29:52) | ===> btop++ v.1.4.0
2024/11/07 (11:29:52) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (11:33:23) | ===> btop++ v.1.4.0
2024/11/07 (11:33:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/07 (12:22:51) | ===> btop++ v.1.4.0
2024/11/07 (12:22:51) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (08:40:22) | ===> btop++ v.1.4.0
2024/11/08 (08:40:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/08 (09:10:59) | ===> btop++ v.1.4.0
2024/11/08 (09:10:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/11 (15:25:53) | ===> btop++ v.1.4.0
2024/11/11 (15:25:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (12:32:28) | ===> btop++ v.1.4.0
2024/11/12 (12:32:28) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/12 (15:14:07) | ===> btop++ v.1.4.0
2024/11/12 (15:14:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (09:14:24) | ===> btop++ v.1.4.0
2024/11/13 (09:14:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/13 (17:54:47) | ===> btop++ v.1.4.0
2024/11/13 (17:54:47) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (09:14:10) | ===> btop++ v.1.4.0
2024/11/14 (09:14:10) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:09:48) | ===> btop++ v.1.4.0
2024/11/14 (11:09:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/14 (11:53:49) | ===> btop++ v.1.4.0
2024/11/14 (11:53:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/15 (12:09:54) | ===> btop++ v.1.4.0
2024/11/15 (12:09:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:37:43) | ===> btop++ v.1.4.0
2024/11/18 (14:37:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:37:55) | ===> btop++ v.1.4.0
2024/11/18 (14:37:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/18 (14:40:35) | ===> btop++ v.1.4.0
2024/11/18 (14:40:35) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (11:22:44) | ===> btop++ v.1.4.0
2024/11/25 (11:22:44) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/25 (11:27:07) | ===> btop++ v.1.4.0
2024/11/25 (11:27:07) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/26 (09:12:40) | ===> btop++ v.1.4.0
2024/11/26 (09:12:40) | WARNING: Intel GPU: Failed to initialize PMU

2024/11/28 (13:02:26) | ===> btop++ v.1.4.0
2024/11/28 (13:02:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/05 (15:28:26) | ===> btop++ v.1.4.0
2024/12/05 (15:28:26) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (15:08:19) | ===> btop++ v.1.4.0
2024/12/10 (15:08:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (16:49:49) | ===> btop++ v.1.4.0
2024/12/10 (16:49:49) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (16:54:03) | ===> btop++ v.1.4.0
2024/12/10 (16:54:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:05:16) | ===> btop++ v.1.4.0
2024/12/10 (17:05:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:10:32) | ===> btop++ v.1.4.0
2024/12/10 (17:10:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/10 (17:26:23) | ===> btop++ v.1.4.0
2024/12/10 (17:26:23) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (08:49:08) | ===> btop++ v.1.4.0
2024/12/11 (08:49:08) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/11 (12:47:11) | ===> btop++ v.1.4.0
2024/12/11 (12:47:11) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/12 (09:59:20) | ===> btop++ v.1.4.0
2024/12/12 (09:59:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:09:55) | ===> btop++ v.1.4.0
2024/12/16 (10:09:55) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:10:45) | ===> btop++ v.1.4.0
2024/12/16 (10:10:45) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:10:48) | ===> btop++ v.1.4.0
2024/12/16 (10:10:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:11:41) | ===> btop++ v.1.4.0
2024/12/16 (10:11:41) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:44:24) | ===> btop++ v.1.4.0
2024/12/16 (10:44:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (10:45:12) | ===> btop++ v.1.4.0
2024/12/16 (10:45:12) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (13:26:43) | ===> btop++ v.1.4.0
2024/12/16 (13:26:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (16:14:24) | ===> btop++ v.1.4.0
2024/12/16 (16:14:24) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/16 (16:38:48) | ===> btop++ v.1.4.0
2024/12/16 (16:38:48) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/17 (15:10:04) | ===> btop++ v.1.4.0
2024/12/17 (15:10:04) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (09:27:36) | ===> btop++ v.1.4.0
2024/12/18 (09:27:36) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (10:57:53) | ===> btop++ v.1.4.0
2024/12/18 (10:57:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (11:48:15) | ===> btop++ v.1.4.0
2024/12/18 (11:48:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (15:45:38) | ===> btop++ v.1.4.0
2024/12/18 (15:45:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (20:03:15) | ===> btop++ v.1.4.0
2024/12/18 (20:03:15) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/18 (20:03:22) | ===> btop++ v.1.4.0
2024/12/18 (20:03:22) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (11:22:18) | ===> btop++ v.1.4.0
2024/12/19 (11:22:18) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (15:21:53) | ===> btop++ v.1.4.0
2024/12/19 (15:21:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/19 (15:44:56) | ===> btop++ v.1.4.0
2024/12/19 (15:44:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (09:57:59) | ===> btop++ v.1.4.0
2024/12/20 (09:57:59) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/20 (11:00:38) | ===> btop++ v.1.4.0
2024/12/20 (11:00:38) | WARNING: Intel GPU: Failed to initialize PMU
